,cooks_d,hat_diag,student_resid,id,inducted,is_high_cooks,is_high_leverage,is_influential
3145,1.0672932281013982e-06,0.001215763083755188,-0.13569470089668426,Joe Sommer,0,0,0,0
3146,6.614339295138356e-08,0.0003589418287785285,-0.06219606218628448,Lary Sorensen,0,0,0,0
3151,1.4755706954668114e-07,0.0004510141350992257,-0.08286986341132309,Vic Sorrell,0,0,0,0
3152,3.877441900273959e-07,0.0007080523048385625,-0.10720025549082907,Elias Sosa,0,0,0,0
3154,1.9764322410945038e-07,0.0004671705245618148,-0.09423482467563538,Allen Sothoron,0,0,0,0
3156,8.219686053129405e-06,0.005046998366318016,-0.18446839268158652,Mario Soto,0,0,0,0
3157,3.4631492354104894e-06,0.0023088786298783226,-0.1772730645056967,Billy Southworth,0,0,0,0
3158,1.0844742531839513e-08,0.0005135122882821337,0.021053888251988433,Warren Spahn,1,0,0,0
3160,3.133611874573589e-07,0.0005443426950308612,-0.1099202772744385,Al Spangler,0,0,0,0
3161,3.553745803958075e-07,0.0005810031095496926,-0.11330195381914956,Tully Sparks,0,0,0,0
3162,2.3675090205223795e-09,0.0002811637817035721,0.013295807480495364,Tris Speaker,1,0,0,0
3163,4.374080078565571e-07,0.0006746438060282251,-0.11664582443627172,Clyde Spearman,0,0,0,0
3164,9.56955157574317e-07,0.0017082856626593871,-0.10836871567625679,Henry Spearman,0,0,0,0
3165,2.0538621474679077e-06,0.002424902807560041,-0.13320512188404232,Chris Speier,0,0,0,0
3167,5.7403737578560926e-08,0.00032193694720395,-0.061182103283817985,Daryl Spencer,0,0,0,0
3168,9.625687933784465e-08,0.000532668472045039,-0.06158590699368865,Jim Spencer,0,0,0,0
3169,3.243620095684482e-07,0.0005376659204405391,-0.11252566793996205,Roy Spencer,0,0,0,0
3172,3.2405488110837704e-07,0.0005777263503609562,-0.10850065375494972,Dan Spillner,0,0,0,0
3173,2.959720242809593e-07,0.0005438923427785962,-0.10687112217550933,Harry Spilman,0,0,0,0
3174,3.378457359083579e-06,0.0020771732003351806,-0.18462095427136052,Paul Splittorff,0,0,0,0
3177,1.1044088568309137e-07,0.00047463181669238103,-0.06988646516249584,Mike Squires,0,0,0,0
3178,3.0832471362023653e-06,0.002517202253727111,-0.16017969676494043,Chick Stahl,0,0,0,0
3179,8.817150072140253e-08,0.00036177376892627586,-0.07152809425918025,Larry Stahl,0,0,0,0
3180,2.7596675912616455e-07,0.0004979138229956315,-0.10785810727409713,Tuck Stainback,0,0,0,0
3182,6.432033561791691e-07,0.001246264762620898,-0.1040417979566852,Gerry Staley,0,0,0,0
3183,2.3745363787115775e-06,0.0025324747896949343,-0.1401444418762548,Oscar Stanage,0,0,0,0
3184,1.5611553092961269e-07,0.0004661548317562551,-0.08384291316141075,Lee Stange,0,0,0,0
3185,4.585531973975989e-08,0.00031476039746970084,-0.05530267105700817,Don Stanhouse,0,0,0,0
3186,4.07336948873453e-06,0.004210857056331534,-0.14222796439857807,Eddie Stanky,0,0,0,0
3187,9.492639467917862e-07,0.0017883775606346952,-0.10548357633087739,Bob Stanley,0,0,0,0
3188,6.060000518448285e-07,0.0006879777646286463,-0.1359594293485848,Fred Stanley,0,0,0,0
3189,7.686636465913578e-07,0.0015829428438414723,-0.10090233057154084,Mickey Stanley,0,0,0,0
3191,9.994096635238878e-06,0.00492962551339818,-0.2058265305143537,Neck Stanley,0,0,0,0
3193,0.0014590313732159715,0.14098705544877685,0.4320680935599617,Willie Stargell,1,0,1,1
3194,4.7211439559134257e-07,0.0006142411200672697,-0.1270078030530697,Jim Starks,0,0,0,0
3195,1.82477183016269e-05,0.0034526086881291763,-0.33257471693119295,Joe Start,0,0,0,0
3196,0.00010382003572874814,0.027531833257611257,-0.27750471465616094,Rusty Staub,0,0,1,1
3198,5.951893019045839e-07,0.0011842053866118983,-0.10267539686485233,John Stearns,0,0,0,0
3199,0.0015052869163682397,0.04646001399387723,0.8054694581356632,Turkey Stearnes,1,0,1,1
3200,2.2405115381273333e-07,0.0005124943631807887,-0.09579158911738989,Bill Stein,0,0,0,0
3201,4.926224975870049e-06,0.0019809499488354886,-0.22829659412932823,Harry Steinfeldt,0,0,0,0
3203,2.789503259533389e-06,0.0019896595974167957,-0.17141594368828741,Casey Stengel,0,0,0,0
3204,3.000416853184262e-08,0.00027968856124711654,-0.04745722621509883,Rennie Stennett,0,0,0,0
3205,2.980266209016354e-07,0.0005060757532212961,-0.11117816222046248,Gene Stephens,0,0,0,0
3206,3.6023836398645564e-06,0.0024144743475564053,-0.17679435742977984,Jake Stephens,0,0,0,0
3207,1.0468693703347683e-07,0.0003825050169269867,-0.07579738980739913,John Stephenson,0,0,0,0
3208,9.76258143913603e-06,0.004769025781705686,-0.20684217178410486,Riggs Stephenson,0,0,0,0
3209,0.013493201923014111,0.07072658684628433,-1.929512351669305,Vern Stephens,0,1,1,1
3213,1.270145195698309e-07,0.00039547645006119856,-0.08210887941643921,Jimmy Stewart,0,0,0,0
3214,2.422874356283542e-07,0.0006683653071957876,-0.08722138174405264,Lefty Stewart,0,0,0,0
3215,1.560946123243037e-07,0.0004679829576270253,-0.08367330822366204,Sammy Stewart,0,0,0,0
3219,1.127639759638983e-07,0.0004317447447917573,-0.07404360155143112,Bob Stinson,0,0,0,0
3220,1.4834930445247773e-05,0.00796473239321225,-0.19698373429671795,Snuffy Stirnweiss,0,0,0,0
3221,1.2808539741790986e-06,0.0011684186575502923,-0.15163740671683304,Jack Stivetts,0,0,0,0
3222,1.260405360720485e-06,0.0009798486520365332,-0.16427534679649164,Chuck Stobbs,0,0,0,0
3223,2.4108398075526796e-06,0.002088249533738356,-0.15554236426441906,Milt Stock,0,0,0,0
3224,4.1780094157953123e-07,0.0008077236554605721,-0.10418075194035725,Tim Stoddard,0,0,0,0
3225,3.2333190716805815e-06,0.0024573976426030004,-0.16602058385328888,Ed Stone,0,0,0,0
3226,1.9964777587077615e-06,0.0018927624154762262,-0.1486902310034244,John Stone,0,0,0,0
3227,8.881128984159725e-07,0.00250922857850018,-0.0861049396552321,Steve Stone,0,0,0,0
3228,3.3241234518028857e-06,0.002551573830492037,-0.16519213819579748,Mel Stottlemyre,0,0,0,0
3230,2.5619085975776183e-07,0.0006423378121244975,-0.09148927628649145,George Stovall,0,0,0,0
3231,0.0018529435696638113,0.03953965315548179,-0.9722188475420628,Harry Stovey,0,1,1,1
3232,2.283969380711944e-07,0.0005569446839292793,-0.09277432044393046,Sammy Strang,0,0,0,0
3235,3.3814056494052597e-07,0.0007709178272471723,-0.09593714115616836,Sam Streeter,0,0,0,0
3236,4.31923117999796e-06,0.002720552538277035,-0.18234453343888504,Cub Stricker,0,0,0,0
3237,1.4348507291093564e-07,0.00041614311473337965,-0.08507486505255493,George Strickland,0,0,0,0
3238,1.4162158953782665e-07,0.00045430559838305806,-0.08089127144516245,Joe Stripp,0,0,0,0
3239,2.2155864543877922e-06,0.0013729442338561951,-0.1839624620912831,Joe Strong,0,0,0,0
3241,1.5713933415465743e-05,0.0041244176268328036,-0.28227559180423295,Amos Strunk,0,0,0,0
3242,9.705263731683328e-08,0.0005764396730440685,-0.05944443151537081,Dick Stuart,0,0,0,0
3244,1.3020545694363203e-07,0.000427590082165475,-0.07994983261792195,Tom Sturdivant,0,0,0,0
3247,2.1635098142400843e-07,0.0005879018457312738,-0.08788382923228036,Pete Suder,0,0,0,0
3248,1.8222290701082197e-07,0.0004929231045241375,-0.08808754003329403,Willie Sudhoff,0,0,0,0
3249,1.7584596769623535e-06,0.0018034318707536977,-0.1429664128132633,Joe Sugden,0,0,0,0
3250,1.4945345888247227e-06,0.0024258605233503086,-0.11360627240171875,Gus Suhr,0,0,0,0
3251,3.853626083339089e-07,0.0011705166734611477,-0.08310005443121839,Clyde Sukeforth,0,0,0,0
3252,1.3675691469489187e-05,0.00440622499743199,-0.25473700932800186,Billy Sullivan,0,0,0,0
3253,4.6503519178770243e-07,0.0009026723150306031,-0.10396601417731288,Billy Sullivan,0,0,0,0
3254,5.1779903652493484e-08,0.0003149234417998754,-0.058751556420914494,Frank Sullivan,0,0,0,0
3255,1.664879426297014e-07,0.00045948149819866264,-0.08721018913161958,Mike Sullivan,0,0,0,0
3257,1.1299779299674187e-07,0.00038666528971637986,-0.07832367460066574,Homer Summa,0,0,0,0
3258,1.7472148203320308e-07,0.0004620552351002176,-0.08909134079872782,Champ Summers,0,0,0,0
3259,8.027636954871686e-06,0.005935128014852483,-0.16803348214519245,Jim Sundberg,0,0,0,0
3262,0.010999726072793056,0.15000448119151005,-1.1440810278485152,Rick Sutcliffe,0,1,1,1
3263,1.3819763503892509e-07,0.000422952356181633,-0.08281754763943666,Gary Sutherland,0,0,0,0
3264,0.033509831124794165,0.15903428661465774,1.929032431876909,Bruce Sutter,1,1,1,1
3265,0.0020355058212311507,0.061572397056296795,0.8071480054296521,Mule Suttles,1,1,1,1
3266,0.0011747079738787575,0.06498537247107426,0.5957663942240996,Don Sutton,1,0,1,1
3267,0.00013608945256045392,0.008163956038209423,-0.5892390159780697,Ezra Sutton,0,0,0,0
3270,2.8918201038562656e-07,0.000545218420260214,-0.10550950818683047,Craig Swan,0,0,0,0
3274,1.6671606412627074e-07,0.00043145171402131756,-0.09006137302422716,Bill Swift,0,0,0,0
3276,2.4627639892009633e-07,0.0005114727750498293,-0.10053069627424102,Bob Swift,0,0,0,0
3279,5.445178136137669e-08,0.00036289275524599917,-0.05612388536362001,Pat Tabler,0,0,0,0
3280,0.0007405536349663364,0.036656995795999334,-0.639292994603005,Frank Tanana,0,0,1,1
3281,2.1203141030029903e-06,0.0013236102261459358,-0.1832913976119685,Jesse Tannehill,0,0,0,0
3282,1.2156861385143526e-07,0.0004127736237208153,-0.07862755292291145,Lee Tannehill,0,0,0,0
3285,1.0096997538127343e-07,0.0003672997338099592,-0.07596537620971511,Bennie Tate,0,0,0,0
3289,7.399902762294446e-08,0.00042917525779688823,-0.060160592009947514,Frank Taveras,0,0,0,0
3290,0.003182668940581135,0.021804431698212914,1.7315930731252533,Ben Taylor,1,1,1,1
3291,0.00653854522889926,0.10358942071238277,-1.0900489425422846,Candy Jim Taylor,0,1,1,1
3292,2.347054930813301e-07,0.0005254909917514177,-0.09682209994766973,C. I. Taylor,0,0,0,0
3293,1.7061868189014717e-07,0.00045209365341955976,-0.08900420807265892,Hawk Taylor,0,0,0,0
3294,1.554640152381453e-07,0.00045543312297448003,-0.08464734920427457,Jack Taylor,0,0,0,0
3295,2.1690367498148347e-07,0.0006256061628340951,-0.08530150668455774,LeRoy Taylor,0,0,0,0
3296,2.0821327722201696e-07,0.0005001558129141381,-0.09347652570971941,Ron Taylor,0,0,0,0
3297,2.131160822048526e-06,0.0030403738151704917,-0.12114152959775512,Tony Taylor,0,0,0,0
3298,1.5047184458717043e-06,0.0013714549290826192,-0.15168704392821528,Zack Taylor,0,0,0,0
3299,5.021985096616324e-06,0.003725964800039198,-0.16792578580656273,Birdie Tebbetts,0,0,0,0
3300,1.0861936661881198e-05,0.0035389672012462073,-0.25342833571853657,Patsy Tebeau,0,0,0,0
3303,2.912435578443922e-06,0.0025508902055586397,-0.15464550519116707,Kent Tekulve,0,0,0,0
3304,8.634270302843223e-06,0.005848915520651284,-0.17555410480380373,Garry Templeton,0,0,0,0
3305,1.0058735990084462e-06,0.002912216911282953,-0.0850425335204922,Johnny Temple,0,0,0,0
3306,3.5027342706798833e-07,0.0013384046945343867,-0.07408472820743832,Gene Tenace,0,0,0,0
3307,2.6910147182252068e-05,0.009167875113337368,-0.2471345010638119,Fred Tenney,0,0,0,0
3308,1.473033224699457e-07,0.0005200050245791817,-0.07710795790646104,Walt Terrell,0,0,0,0
3309,3.3182504594552133e-06,0.0016023280047772817,-0.20837244957896467,Adonis Terry,0,0,0,0
3310,5.067981550911564e-05,0.02033650191886576,0.2264266271290672,Bill Terry,1,0,1,1
3311,1.6205403304244476e-07,0.0008701506167149294,-0.06251054999640826,Ralph Terry,0,0,0,0
3313,5.7321888086171e-08,0.0003366761997347307,-0.05978476989002921,Tim Teufel,0,0,0,0
3316,2.2036839387143263e-06,0.0020676807716084353,-0.14944902980509997,Tommy Thevenow,0,0,0,0
3317,0.00013937570551339446,0.01147164082975749,-0.5022095682085512,Clint Thomas,0,0,0,0
3318,1.1053502955207436e-06,0.0011013464194697894,-0.14509697388586895,Dave Thomas,0,0,0,0
3319,9.27400145092703e-07,0.0010371157753708228,-0.1369633226797261,Derrel Thomas,0,0,0,0
3320,5.934875257779088e-07,0.0016287013408155808,-0.08740590254882162,Frank Thomas,0,0,0,0
3322,2.577798297542786e-07,0.0004893586914619863,-0.10515118507505412,George Thomas,0,0,0,0
3323,2.586318536772738e-07,0.0010311758271130563,-0.07253711178524393,Gorman Thomas,0,0,0,0
3324,1.527581384373894e-06,0.0015202642028871148,-0.14515163058414046,Ira Thomas,0,0,0,0
3325,2.302706077900168e-05,0.005408101217384437,-0.2982146359031494,Jules Thomas,0,0,0,0
3326,1.3928884813554221e-07,0.000434547126053268,-0.08202665443285467,Pinch Thomas,0,0,0,0
3327,3.5942508977441486e-06,0.0035465736459067013,-0.14562564215424864,Roy Thomas,0,0,0,0
3328,9.011242509820629e-07,0.0010952079644671886,-0.13137591014168962,Tommy Thomas,0,0,0,0
3330,2.968472258423728e-07,0.0007620633464176447,-0.09040970764535262,Hank Thompson,0,0,0,0
3331,6.341617126559526e-08,0.0005895314434807299,-0.047514713687298156,Jason Thompson,0,0,0,0
